group,variable,value
500,500,10.391
500,500.361,9.922
500,500.723,8.437
500,501.084,5.859
500,501.446,5.312
500,501.807,5.898
500,502.169,1.953
500,502.53,-17.461
500,502.892,-9.688
500,503.253,-1.797
500,503.614,0.312
500,503.976,1.094
500,504.337,1.133
500,504.699,1.094
500,505.06,1.758
500,505.422,2.148
500,505.783,2.305
500,506.145,2.5
500,506.506,4.648
500,506.867,4.336
500,507.229,2.031
500,507.59,2.539
500,507.952,3.398
500,508.313,3.164
500,508.675,3.047
500,509.036,2.461
500,509.398,3.164
500,509.759,3.32
500,510.12,2.891
500,510.482,2.891
500,510.843,2.773
500,511.205,2.812
500,511.566,2.773
500,511.928,2.773
500,512.289,2.617
500,512.651,2.695
500,513.012,2.773
500,513.373,3.164
500,513.735,3.789
500,514.096,5.273
500,514.458,5.742
500,514.819,6.641
500,515.181,6.758
500,515.542,5.547
500,515.904,4.805
500,516.265,3.203
500,516.627,3.711
500,516.988,3.281
500,517.349,3.203
500,517.711,3.242
500,518.072,1.328
500,518.434,2.656
500,518.795,3.32
500,519.157,2.187
500,519.518,2.383
500,519.88,2.93
500,520.241,2.734
500,520.602,2.812
500,520.964,1.641
500,521.325,3.75
500,521.687,2.734
500,522.048,7.344
500,522.41,-17.031
500,522.771,-22.695
500,523.133,-6.445
500,523.494,-1.016
500,523.855,0.742
500,524.217,1.719
500,524.578,2.578
500,524.94,2.578
500,525.301,2.148
500,525.663,2.539
500,526.024,2.266
500,526.386,2.5
500,526.747,2.734
500,527.108,2.695
500,527.47,2.969
500,527.831,1.992
500,528.193,1.211
500,528.554,2.773
500,528.916,3.164
500,529.277,2.148
500,529.639,2.539
500,530,2.969
500.5,530,3.164
500.5,529.63,3.086
500.5,529.259,2.851
500.5,528.889,3.047
500.5,528.519,2.734
500.5,528.148,-0.859
500.5,527.778,1.601
500.5,527.407,1.797
500.5,527.037,2.148
500.5,526.667,2.656
500.5,526.296,2.422
500.5,525.926,2.148
500.5,525.556,2.5
500.5,525.185,1.601
500.5,524.815,-1.484
500.5,524.444,1.094
500.5,524.074,2.226
500.5,523.704,2.969
500.5,523.333,3.242
500.5,522.963,3.555
500.5,522.593,3.164
500.5,522.222,2.578
500.5,521.852,2.187
500.5,521.481,3.437
500.5,521.111,3.32
500.5,520.741,4.375
500.5,520.37,5.078
500.5,520,5.195
500.5,519.63,2.617
500.5,519.259,2.656
500.5,518.889,2.617
500.5,518.519,2.5
500.5,518.148,2.969
500.5,517.778,2.656
500.5,517.407,1.797
500.5,517.037,2.344
500.5,516.667,3.086
500.5,516.296,2.891
500.5,515.926,3.047
500.5,515.556,3.242
500.5,515.185,3.398
500.5,514.815,3.945
500.5,514.444,4.062
500.5,514.074,4.961
500.5,513.704,5.703
500.5,513.333,6.406
500.5,512.963,5
500.5,512.593,4.062
500.5,512.222,3.672
500.5,511.852,3.555
500.5,511.481,3.437
500.5,511.111,3.086
500.5,510.741,2.891
500.5,510.37,2.617
500.5,510,2.93
500.5,509.63,2.734
500.5,509.259,2.812
500.5,508.889,3.125
500.5,508.519,1.992
500.5,508.148,2.344
500.5,507.778,3.125
500.5,507.407,3.359
500.5,507.037,2.031
500.5,506.667,-5.195
500.5,506.296,-1.914
500.5,505.926,4.18
500.5,505.556,3.398
500.5,505.185,2.969
500.5,504.815,2.851
500.5,504.444,3.672
500.5,504.074,2.5
500.5,503.704,2.539
500.5,503.333,2.578
500.5,502.963,2.305
500.5,502.593,2.305
500.5,502.222,2.266
500.5,501.852,2.344
500.5,501.481,3.672
500.5,501.111,4.922
500.5,500.741,5.391
500.5,500.37,5.117
500.5,500,3.516
501,500,4.766
501,500.545,4.766
501,501.091,5.625
501,501.636,5.351
501,502.182,4.492
501,502.727,4.023
501,503.273,3.281
501,503.818,2.578
501,504.364,2.305
501,504.909,2.226
501,505.455,1.992
501,506,2.109
501,506.545,1.992
501,507.091,2.344
501,507.636,2.891
501,508.182,3.008
501,508.727,2.93
501,509.273,2.5
501,509.818,2.148
501,510.364,2.617
501,510.909,-0.391
501,511.455,-6.524
501,512,-1.016
501,512.545,1.211
501,513.091,1.719
501,513.636,2.266
501,514.182,2.344
501,514.727,2.695
501,515.273,0.586
501,515.818,2.148
501,516.364,2.187
501,516.909,2.734
501,517.455,2.344
501,518,2.617
501,518.545,3.203
